Gene_ID,Num_Transcripts,Transcripts_IDs,Transcript_Lengths,Difference_Length,Longest_Transcript,Length
g_8907,1,['anno1.g9245.t1'],[442],0,anno1.g9245.t1,442
g_8910,1,['anno1.g9248.t1'],[74],0,anno1.g9248.t1,74
g_8911,1,['anno1.g9249.t1'],[184],0,anno1.g9249.t1,184
g_8912,1,['anno1.g9250.t1'],[313],0,anno1.g9250.t1,313
g_8913,1,['anno1.g9251.t1'],[207],0,anno1.g9251.t1,207
g_8914,1,['anno1.g9252.t1'],[487],0,anno1.g9252.t1,487
g_8915,1,['anno1.g9253.t1'],[288],0,anno1.g9253.t1,288
g_8916,1,['anno1.g9254.t1'],[150],0,anno1.g9254.t1,150
g_8917,1,['anno1.g9255.t1'],[792],0,anno1.g9255.t1,792
g_8918,1,['anno1.g9256.t1'],[318],0,anno1.g9256.t1,318
g_8919,1,['anno1.g9257.t1'],[711],0,anno1.g9257.t1,711
g_8920,1,['anno1.g9258.t1'],[148],0,anno1.g9258.t1,148
g_8921,1,['anno1.g9259.t1'],[140],0,anno1.g9259.t1,140
g_8922,1,['anno1.g9260.t1'],[137],0,anno1.g9260.t1,137
g_8923,1,['anno1.g9261.t1'],[432],0,anno1.g9261.t1,432
g_8924,1,['anno1.g9262.t1'],[465],0,anno1.g9262.t1,465
g_8925,1,['anno1.g9263.t1'],[141],0,anno1.g9263.t1,141
g_8926,1,['anno1.g9264.t1'],[470],0,anno1.g9264.t1,470
g_8927,1,['anno1.g9265.t1'],[482],0,anno1.g9265.t1,482
g_8928,1,['anno1.g9266.t1'],[123],0,anno1.g9266.t1,123
g_15766,1,['anno2.MSTRG.12670.2'],[284],0,anno2.MSTRG.12670.2,284
g_8929,1,['anno1.g9267.t1'],[237],0,anno1.g9267.t1,237
g_8930,1,['anno1.g9268.t1'],[139],0,anno1.g9268.t1,139
g_8931,1,['anno1.g9269.t1'],[359],0,anno1.g9269.t1,359
g_8932,1,['anno1.g9270.t1'],[110],0,anno1.g9270.t1,110
g_8933,1,['anno1.g9271.t1'],[177],0,anno1.g9271.t1,177
g_8934,1,['anno1.g9272.t1'],[296],0,anno1.g9272.t1,296
g_8935,1,['anno1.g9273.t1'],[229],0,anno1.g9273.t1,229
g_8936,1,['anno1.g9274.t1'],[319],0,anno1.g9274.t1,319
g_8937,1,['anno1.g9275.t1'],[172],0,anno1.g9275.t1,172
g_8938,1,['anno1.g9276.t1'],[129],0,anno1.g9276.t1,129
g_8939,1,['anno1.g9277.t1'],[195],0,anno1.g9277.t1,195
g_8940,1,['anno2.MSTRG.12681.1'],[439],0,anno2.MSTRG.12681.1,439
g_8941,3,"['anno1.g9279.t1', 'anno1.g9279.t2', 'anno2.MSTRG.12688.1']","[543, 407, 690]",283,anno2.MSTRG.12688.1,690
g_8943,1,['anno1.g9281.t1'],[134],0,anno1.g9281.t1,134
g_8944,1,['anno1.g9282.t1'],[181],0,anno1.g9282.t1,181
g_8945,2,"['anno1.g9284.t1', 'anno1.g9284.t2']","[652, 639]",13,anno1.g9284.t1,652
g_15638,1,['anno2.MSTRG.12691.1'],[229],0,anno2.MSTRG.12691.1,229
g_15533,1,['anno2.MSTRG.12692.1'],[334],0,anno2.MSTRG.12692.1,334
g_8946,1,['anno1.g9285.t1'],[461],0,anno1.g9285.t1,461
g_8947,2,"['anno1.g9286.t1', 'anno2.MSTRG.12697.1']","[230, 241]",11,anno2.MSTRG.12697.1,241
g_8948,1,['anno1.g9287.t1'],[428],0,anno1.g9287.t1,428
g_8949,1,['anno1.g9288.t1'],[220],0,anno1.g9288.t1,220
g_8950,2,"['anno1.g9289.t1', 'anno2.MSTRG.12699.1']","[712, 1663]",951,anno2.MSTRG.12699.1,1663
g_8951,1,['anno1.g9290.t1'],[218],0,anno1.g9290.t1,218
g_8953,1,['anno1.g9293.t1'],[181],0,anno1.g9293.t1,181
g_8954,1,['anno1.g9294.t1'],[140],0,anno1.g9294.t1,140
g_8955,1,['anno1.g9295.t1'],[146],0,anno1.g9295.t1,146
g_8956,1,['anno1.g9296.t1'],[343],0,anno1.g9296.t1,343
g_8957,1,['anno1.g9297.t1'],[210],0,anno1.g9297.t1,210
g_8958,1,['anno1.g9298.t1'],[677],0,anno1.g9298.t1,677
g_8959,1,['anno1.g9299.t1'],[374],0,anno1.g9299.t1,374
g_8960,1,['anno1.g9300.t1'],[234],0,anno1.g9300.t1,234
g_8961,1,['anno1.g9301.t1'],[498],0,anno1.g9301.t1,498
g_8962,1,['anno1.g9302.t1'],[575],0,anno1.g9302.t1,575
g_8963,1,['anno1.g9303.t1'],[133],0,anno1.g9303.t1,133
g_8964,2,"['anno1.g9304.t1', 'anno2.MSTRG.12715.1']","[131, 126]",5,anno1.g9304.t1,131
g_8965,1,['anno1.g9305.t1'],[278],0,anno1.g9305.t1,278
g_8966,1,['anno1.g9306.t1'],[428],0,anno1.g9306.t1,428
g_8967,2,"['anno1.g9307.t1', 'anno2.623_t']","[139, 187]",48,anno2.623_t,187
g_8968,3,"['anno1.g9308.t1', 'anno2.MSTRG.12723.1', 'anno2.MSTRG.12723.2']","[217, 237, 241]",24,anno2.MSTRG.12723.2,241
g_8969,1,['anno1.g9309.t1'],[274],0,anno1.g9309.t1,274
g_8970,1,['anno1.g9310.t1'],[212],0,anno1.g9310.t1,212
g_8971,1,['anno1.g9311.t1'],[145],0,anno1.g9311.t1,145
g_8972,1,['anno1.g9312.t1'],[382],0,anno1.g9312.t1,382
g_8973,1,['anno1.g9313.t1'],[207],0,anno1.g9313.t1,207
g_8974,2,"['anno1.g9314.t1', 'anno1.g9314.t2']","[891, 832]",59,anno1.g9314.t1,891
g_8975,1,['anno1.g9315.t1'],[233],0,anno1.g9315.t1,233
g_8976,2,"['anno1.g9316.t1', 'anno2.MSTRG.12731.1']","[110, 112]",2,anno2.MSTRG.12731.1,112
g_8977,6,"['anno1.g9317.t1', 'anno1.g9317.t2', 'anno2.MSTRG.12732.4', 'anno2.MSTRG.12732.5', 'anno2.MSTRG.12732.7', 'anno2.MSTRG.12732.9']","[853, 868, 855, 840, 845, 839]",29,anno1.g9317.t2,868
g_15712,1,['anno2.MSTRG.12733.1'],[364],0,anno2.MSTRG.12733.1,364
g_8978,1,['anno1.g9318.t1'],[490],0,anno1.g9318.t1,490
g_8979,1,['anno1.g9319.t1'],[451],0,anno1.g9319.t1,451
g_8980,1,['anno1.g9320.t1'],[100],0,anno1.g9320.t1,100
g_8981,3,"['anno1.g9321.t1', 'anno2.4703_t', 'anno2.4704_t']","[735, 503, 483]",252,anno1.g9321.t1,735
g_8982,1,['anno1.g9322.t1'],[643],0,anno1.g9322.t1,643
g_8983,1,['anno1.g9323.t1'],[393],0,anno1.g9323.t1,393
g_8984,1,['anno1.g9324.t1'],[202],0,anno1.g9324.t1,202
g_8985,2,"['anno1.g9325.t1', 'anno2.MSTRG.12746.2']","[306, 280]",26,anno1.g9325.t1,306
g_8986,9,"['anno1.g9326.t1', 'anno1.g9326.t2', 'anno1.g9326.t3', 'anno2.MSTRG.12747.1', 'anno2.MSTRG.12747.80', 'anno2.MSTRG.12747.81', 'anno2.MSTRG.12747.82', 'anno2.MSTRG.12747.85', 'anno2.MSTRG.12747.90']","[1668, 1660, 1711, 1681, 1680, 1672, 1689, 1681, 1689]",51,anno1.g9326.t3,1711
g_8987,2,"['anno1.g9327.t1', 'anno2.5295_t']","[232, 239]",7,anno2.5295_t,239
g_8988,1,['anno1.g9328.t1'],[222],0,anno1.g9328.t1,222
g_8989,1,['anno1.g9329.t1'],[266],0,anno1.g9329.t1,266
g_8990,1,['anno1.g9330.t1'],[539],0,anno1.g9330.t1,539
g_8991,1,['anno1.g9331.t1'],[264],0,anno1.g9331.t1,264
g_8993,1,['anno1.g9333.t1'],[92],0,anno1.g9333.t1,92
g_8994,1,['anno1.g9334.t1'],[235],0,anno1.g9334.t1,235
g_8995,4,"['anno1.g9335.t1', 'anno1.g9335.t2', 'anno2.MSTRG.12753.1', 'anno2.MSTRG.12753.2']","[1725, 1206, 1707, 1679]",519,anno1.g9335.t1,1725
g_8996,1,['anno1.g9336.t1'],[265],0,anno1.g9336.t1,265
g_8997,1,['anno1.g9337.t1'],[270],0,anno1.g9337.t1,270
g_8998,1,['anno1.g9338.t1'],[68],0,anno1.g9338.t1,68
g_8999,2,"['anno1.g9339.t1', 'anno2.MSTRG.12759.2']","[532, 544]",12,anno2.MSTRG.12759.2,544
g_9000,1,['anno1.g9340.t1'],[96],0,anno1.g9340.t1,96
g_9001,1,['anno1.g9341.t1'],[715],0,anno1.g9341.t1,715
g_9002,1,['anno1.g9342.t1'],[316],0,anno1.g9342.t1,316
g_9003,2,"['anno1.g9343.t1', 'anno1.g9343.t2']","[920, 768]",152,anno1.g9343.t1,920
g_9004,1,['anno1.g9344.t1'],[353],0,anno1.g9344.t1,353
g_9005,1,['anno1.g9345.t1'],[318],0,anno1.g9345.t1,318
g_9006,1,['anno1.g9346.t1'],[532],0,anno1.g9346.t1,532
g_15711,1,['anno2.MSTRG.12770.1'],[311],0,anno2.MSTRG.12770.1,311
g_9007,2,"['anno1.g9347.t1', 'anno2.MSTRG.12771.1']","[493, 486]",7,anno1.g9347.t1,493
g_9008,3,"['anno1.g9348.t1', 'anno1.g9348.t2', 'anno2.MSTRG.12773.1']","[1298, 1252, 224]",1074,anno1.g9348.t1,1298
g_9009,1,['anno1.g9349.t1'],[270],0,anno1.g9349.t1,270
g_9010,2,"['anno1.g9350.t1', 'anno2.MSTRG.12775.1']","[323, 329]",6,anno2.MSTRG.12775.1,329
g_9011,3,"['anno1.g9351.t1', 'anno2.MSTRG.12777.1', 'anno2.MSTRG.12777.2']","[210, 206, 224]",18,anno2.MSTRG.12777.2,224
g_9012,1,['anno1.g9352.t1'],[207],0,anno1.g9352.t1,207
g_9013,1,['anno1.g9353.t1'],[397],0,anno1.g9353.t1,397
g_9014,1,['anno1.g9354.t1'],[370],0,anno1.g9354.t1,370
g_9015,1,['anno1.g9355.t1'],[288],0,anno1.g9355.t1,288
g_9016,1,['anno1.g9356.t1'],[465],0,anno1.g9356.t1,465
g_9017,1,['anno1.g9357.t1'],[750],0,anno1.g9357.t1,750
g_15379,1,['anno2.MSTRG.12784.5'],[437],0,anno2.MSTRG.12784.5,437
g_9018,1,['anno1.g9358.t1'],[278],0,anno1.g9358.t1,278
g_9020,2,"['anno1.g9360.t1', 'anno2.MSTRG.12788.1']","[87, 154]",67,anno2.MSTRG.12788.1,154
g_9021,1,['anno1.g9361.t1'],[1825],0,anno1.g9361.t1,1825
g_9022,1,['anno1.g9362.t1'],[119],0,anno1.g9362.t1,119
g_9024,1,['anno1.g9364.t1'],[140],0,anno1.g9364.t1,140
g_9025,1,['anno1.g9365.t1'],[450],0,anno1.g9365.t1,450
g_16928,1,['anno1.g9367.t1'],[434],0,anno1.g9367.t1,434
g_9027,1,['anno1.g9368.t1'],[789],0,anno1.g9368.t1,789
g_9028,1,['anno1.g9369.t1'],[407],0,anno1.g9369.t1,407
g_9029,1,['anno1.g9370.t1'],[313],0,anno1.g9370.t1,313
g_9030,1,['anno1.g9371.t1'],[559],0,anno1.g9371.t1,559
g_9031,1,['anno1.g9372.t1'],[555],0,anno1.g9372.t1,555
g_9032,1,['anno1.g9373.t1'],[240],0,anno1.g9373.t1,240
g_9033,2,"['anno1.g9374.t1', 'anno1.g9374.t2']","[580, 538]",42,anno1.g9374.t1,580
g_9034,1,['anno1.g9375.t1'],[446],0,anno1.g9375.t1,446
g_9035,2,"['anno1.g9376.t1', 'anno2.MSTRG.12813.3']","[1982, 2001]",19,anno2.MSTRG.12813.3,2001
g_9036,1,['anno1.g9377.t1'],[379],0,anno1.g9377.t1,379
g_9038,1,['anno1.g9379.t1'],[393],0,anno1.g9379.t1,393
g_9039,1,['anno1.g9380.t1'],[282],0,anno1.g9380.t1,282
g_9040,1,['anno1.g9381.t1'],[924],0,anno1.g9381.t1,924
g_9041,1,['anno1.g9382.t1'],[71],0,anno1.g9382.t1,71
g_9042,1,['anno1.g9383.t1'],[219],0,anno1.g9383.t1,219
g_9043,2,"['anno1.g9384.t1', 'anno2.6252_t']","[541, 506]",35,anno1.g9384.t1,541
g_9044,1,['anno1.g9385.t1'],[334],0,anno1.g9385.t1,334
g_9045,1,['anno1.g9386.t1'],[173],0,anno1.g9386.t1,173
g_9046,1,['anno1.g9387.t1'],[499],0,anno1.g9387.t1,499
g_9047,2,"['anno1.g9388.t1', 'anno2.6256_t']","[665, 716]",51,anno2.6256_t,716
g_9048,1,['anno1.g9389.t1'],[408],0,anno1.g9389.t1,408
g_9049,1,['anno1.g9390.t1'],[311],0,anno1.g9390.t1,311
g_9050,1,['anno1.g9391.t1'],[122],0,anno1.g9391.t1,122
g_9051,1,['anno1.g9392.t1'],[228],0,anno1.g9392.t1,228
g_9052,1,['anno1.g9393.t1'],[216],0,anno1.g9393.t1,216
g_9053,1,['anno1.g9394.t1'],[190],0,anno1.g9394.t1,190
g_9054,2,"['anno1.g9395.t1', 'anno2.MSTRG.12827.1']","[216, 235]",19,anno2.MSTRG.12827.1,235
g_9055,1,['anno2.4698_t'],[215],0,anno2.4698_t,215
g_16929,1,['anno2.4699_t'],[104],0,anno2.4699_t,104
g_9056,2,"['anno1.g9397.t1', 'anno2.MSTRG.12828.3']","[377, 396]",19,anno2.MSTRG.12828.3,396
g_9057,4,"['anno1.g9398.t1', 'anno2.MSTRG.12830.2', 'anno2.MSTRG.12830.4', 'anno2.MSTRG.12830.6']","[425, 392, 392, 411]",33,anno1.g9398.t1,425
g_9058,1,['anno1.g9399.t1'],[296],0,anno1.g9399.t1,296
g_9059,1,['anno1.g9400.t1'],[130],0,anno1.g9400.t1,130
g_9060,1,['anno1.g9401.t1'],[66],0,anno1.g9401.t1,66
g_9061,1,['anno1.g9402.t1'],[564],0,anno1.g9402.t1,564
g_16784,1,['anno2.6272_t'],[53],0,anno2.6272_t,53
g_16785,1,['anno2.6273_t'],[54],0,anno2.6273_t,54
g_16786,1,['anno2.6274_t'],[50],0,anno2.6274_t,50
g_9062,1,['anno1.g9403.t1'],[95],0,anno1.g9403.t1,95
g_9063,1,['anno1.g9404.t1'],[136],0,anno1.g9404.t1,136
g_9064,1,['anno1.g9405.t1'],[837],0,anno1.g9405.t1,837
g_9065,1,['anno1.g9406.t1'],[180],0,anno1.g9406.t1,180
g_9066,2,"['anno1.g9407.t1', 'anno1.g9407.t2']","[697, 689]",8,anno1.g9407.t1,697
g_9067,2,"['anno1.g9408.t1', 'anno2.MSTRG.12839.1']","[138, 138]",0,anno1.g9408.t1,138
g_9068,2,"['anno1.g9409.t3', 'anno1.g9409.t4']","[1074, 1356]",282,anno1.g9409.t4,1356
g_9069,1,['anno1.g9410.t1'],[139],0,anno1.g9410.t1,139
g_9070,2,"['anno1.g9411.t1', 'anno2.MSTRG.12842.1']","[248, 264]",16,anno2.MSTRG.12842.1,264
g_9071,1,['anno1.g9412.t1'],[764],0,anno1.g9412.t1,764
g_9072,1,['anno1.g9413.t1'],[654],0,anno1.g9413.t1,654
g_9073,2,"['anno1.g9414.t1', 'anno2.3600_t']","[154, 53]",101,anno1.g9414.t1,154
g_9074,1,['anno1.g9415.t1'],[1054],0,anno1.g9415.t1,1054
g_9075,1,['anno1.g9416.t1'],[895],0,anno1.g9416.t1,895
g_16232,1,['anno2.2613_t'],[348],0,anno2.2613_t,348
g_9076,1,['anno1.g9417.t1'],[327],0,anno1.g9417.t1,327
g_9077,2,"['anno1.g9418.t1', 'anno2.MSTRG.12868.1']","[124, 115]",9,anno1.g9418.t1,124
g_9078,1,['anno1.g9419.t1'],[337],0,anno1.g9419.t1,337
g_9079,1,['anno1.g9420.t1'],[341],0,anno1.g9420.t1,341
g_9080,1,['anno1.g9421.t1'],[232],0,anno1.g9421.t1,232
g_9081,1,['anno1.g9422.t1'],[121],0,anno1.g9422.t1,121
g_9082,1,['anno1.g9423.t1'],[271],0,anno1.g9423.t1,271
g_9083,1,['anno1.g9424.t1'],[280],0,anno1.g9424.t1,280
g_9084,1,['anno1.g9425.t1'],[268],0,anno1.g9425.t1,268
g_9085,1,['anno1.g9426.t1'],[597],0,anno1.g9426.t1,597
g_9086,1,['anno1.g9427.t1'],[277],0,anno1.g9427.t1,277
g_9087,2,"['anno2.MSTRG.12883.1', 'anno2.MSTRG.12883.2']","[322, 326]",4,anno2.MSTRG.12883.2,326
g_9088,1,['anno1.g9429.t1'],[128],0,anno1.g9429.t1,128
g_9089,2,"['anno1.g9430.t1', 'anno2.MSTRG.12887.1']","[551, 644]",93,anno2.MSTRG.12887.1,644
g_9090,1,['anno1.g9431.t1'],[87],0,anno1.g9431.t1,87
g_9092,2,"['anno1.g9433.t1', 'anno2.MSTRG.12888.1']","[591, 647]",56,anno2.MSTRG.12888.1,647
g_9091,1,['anno1.g9432.t1'],[392],0,anno1.g9432.t1,392
g_9093,1,['anno1.g9435.t1'],[590],0,anno1.g9435.t1,590
g_9094,1,['anno1.g9436.t1'],[812],0,anno1.g9436.t1,812
g_9095,1,['anno1.g9437.t1'],[143],0,anno1.g9437.t1,143
g_9096,2,"['anno1.g9438.t1', 'anno2.MSTRG.12891.2']","[1012, 1020]",8,anno2.MSTRG.12891.2,1020
g_9097,2,"['anno1.g9439.t1', 'anno2.MSTRG.12893.2']","[288, 283]",5,anno1.g9439.t1,288
g_9098,1,['anno1.g9440.t1'],[1272],0,anno1.g9440.t1,1272
g_9099,1,['anno1.g9441.t1'],[138],0,anno1.g9441.t1,138
g_9100,2,"['anno1.g9442.t1', 'anno1.g9442.t2']","[247, 270]",23,anno1.g9442.t2,270
g_9101,1,['anno1.g9443.t1'],[195],0,anno1.g9443.t1,195
g_9102,1,['anno1.g9444.t1'],[265],0,anno1.g9444.t1,265
g_9104,4,"['anno1.g9446.t1', 'anno1.g9446.t2', 'anno2.MSTRG.12904.2', 'anno2.MSTRG.12904.4']","[570, 576, 557, 551]",25,anno1.g9446.t2,576
g_9106,1,['anno1.g9448.t1'],[116],0,anno1.g9448.t1,116
g_9107,1,['anno1.g9449.t1'],[86],0,anno1.g9449.t1,86
g_9108,1,['anno1.g9450.t1'],[978],0,anno1.g9450.t1,978
g_9109,1,['anno1.g9451.t1'],[190],0,anno1.g9451.t1,190
g_9110,1,['anno1.g9452.t1'],[722],0,anno1.g9452.t1,722
g_9111,1,['anno1.g9453.t1'],[528],0,anno1.g9453.t1,528
g_9112,1,['anno1.g9454.t1'],[174],0,anno1.g9454.t1,174
g_9113,1,['anno1.g9455.t1'],[202],0,anno1.g9455.t1,202
g_9114,1,['anno1.g9456.t1'],[173],0,anno1.g9456.t1,173
g_9115,1,['anno1.g9457.t1'],[498],0,anno1.g9457.t1,498
g_9116,1,['anno1.g9458.t1'],[404],0,anno1.g9458.t1,404
g_9117,2,"['anno1.g9459.t1', 'anno2.229_t']","[305, 276]",29,anno1.g9459.t1,305
g_9118,1,['anno1.g9460.t1'],[594],0,anno1.g9460.t1,594
g_9119,1,['anno1.g9461.t1'],[753],0,anno1.g9461.t1,753
g_9120,6,"['anno1.g9462.t1', 'anno1.g9462.t2', 'anno2.MSTRG.12919.1', 'anno2.MSTRG.12919.3', 'anno2.MSTRG.12919.4', 'anno2.MSTRG.12919.7']","[839, 810, 588, 623, 594, 559]",280,anno1.g9462.t1,839
g_9121,1,['anno1.g9463.t1'],[209],0,anno1.g9463.t1,209
g_9123,1,['anno1.g9465.t1'],[688],0,anno1.g9465.t1,688
g_9124,1,['anno1.g9466.t1'],[613],0,anno1.g9466.t1,613
g_9125,1,['anno1.g9467.t1'],[332],0,anno1.g9467.t1,332
g_9126,1,['anno1.g9468.t1'],[132],0,anno1.g9468.t1,132
g_9127,2,"['anno1.g9469.t1', 'anno2.MSTRG.12933.1']","[496, 475]",21,anno1.g9469.t1,496
g_9128,1,['anno1.g9470.t1'],[485],0,anno1.g9470.t1,485
g_9129,1,['anno1.g9471.t1'],[248],0,anno1.g9471.t1,248
g_9130,2,"['anno1.g9472.t1', 'anno2.MSTRG.12935.1']","[515, 394]",121,anno1.g9472.t1,515
g_9131,2,"['anno1.g9473.t1', 'anno1.g9473.t2']","[421, 410]",11,anno1.g9473.t1,421
g_9132,2,"['anno1.g9474.t1', 'anno2.MSTRG.12937.1']","[543, 592]",49,anno2.MSTRG.12937.1,592
g_9133,1,['anno1.g9475.t1'],[437],0,anno1.g9475.t1,437
g_9134,1,['anno1.g9476.t2'],[605],0,anno1.g9476.t2,605
g_9135,2,"['anno1.g9477.t1', 'anno1.g9477.t2']","[382, 422]",40,anno1.g9477.t2,422
g_9136,1,['anno2.157_t'],[1933],0,anno2.157_t,1933
g_9137,1,['anno1.g9479.t1'],[205],0,anno1.g9479.t1,205
g_9138,1,['anno1.g9480.t1'],[277],0,anno1.g9480.t1,277
g_16044,1,['anno2.1295_t'],[59],0,anno2.1295_t,59
g_9139,1,['anno1.g9481.t1'],[74],0,anno1.g9481.t1,74
g_9140,5,"['anno1.g9482.t1', 'anno1.g9482.t3', 'anno1.g9482.t4', 'anno2.MSTRG.12950.1', 'anno2.MSTRG.12950.2']","[2544, 1638, 1641, 2544, 2541]",906,anno1.g9482.t1,2544
g_9141,1,['anno1.g9483.t1'],[333],0,anno1.g9483.t1,333
g_15612,1,['anno2.MSTRG.12952.1'],[318],0,anno2.MSTRG.12952.1,318
g_9142,1,['anno1.g9484.t1'],[465],0,anno1.g9484.t1,465
g_9143,2,"['anno1.g9485.t1', 'anno1.g9485.t2']","[856, 883]",27,anno1.g9485.t2,883
g_9144,1,['anno1.g9486.t1'],[442],0,anno1.g9486.t1,442
g_9146,1,['anno1.g9488.t1'],[402],0,anno1.g9488.t1,402
g_9147,1,['anno1.g9489.t1'],[465],0,anno1.g9489.t1,465
g_9148,1,['anno2.MSTRG.12963.1'],[527],0,anno2.MSTRG.12963.1,527
g_9149,2,"['anno1.g9491.t1', 'anno1.g9491.t2']","[372, 368]",4,anno1.g9491.t1,372
g_9150,1,['anno1.g9492.t1'],[556],0,anno1.g9492.t1,556
g_9151,1,['anno1.g9493.t1'],[315],0,anno1.g9493.t1,315
g_9152,1,['anno1.g9494.t1'],[147],0,anno1.g9494.t1,147
g_9153,1,['anno1.g9495.t1'],[208],0,anno1.g9495.t1,208
g_9154,1,['anno1.g9496.t1'],[137],0,anno1.g9496.t1,137
g_9155,1,['anno2.MSTRG.12971.1'],[791],0,anno2.MSTRG.12971.1,791
g_16930,1,['anno2.MSTRG.12974.1'],[811],0,anno2.MSTRG.12974.1,811
g_16383,1,['anno2.3612_t'],[155],0,anno2.3612_t,155
g_9157,2,"['anno1.g9499.t1', 'anno1.g9499.t2']","[487, 480]",7,anno1.g9499.t1,487
g_9158,1,['anno1.g9500.t1'],[134],0,anno1.g9500.t1,134
g_9159,1,['anno1.g9501.t1'],[454],0,anno1.g9501.t1,454
g_9160,1,['anno1.g9502.t1'],[616],0,anno1.g9502.t1,616
g_9161,1,['anno1.g9503.t1'],[598],0,anno1.g9503.t1,598
g_9162,1,['anno1.g9504.t1'],[354],0,anno1.g9504.t1,354
g_9163,1,['anno1.g9505.t1'],[530],0,anno1.g9505.t1,530
g_9164,3,"['anno1.g9506.t1', 'anno2.MSTRG.12982.3', 'anno2.MSTRG.12982.4']","[699, 704, 697]",7,anno2.MSTRG.12982.3,704
g_9165,1,['anno1.g9507.t1'],[390],0,anno1.g9507.t1,390
g_9166,1,['anno1.g9508.t1'],[554],0,anno1.g9508.t1,554
g_9167,1,['anno1.g9509.t1'],[466],0,anno1.g9509.t1,466
g_9168,1,['anno1.g9510.t1'],[397],0,anno1.g9510.t1,397
g_9169,1,['anno1.g9511.t1'],[1191],0,anno1.g9511.t1,1191
g_9170,1,['anno2.MSTRG.13004.1'],[175],0,anno2.MSTRG.13004.1,175
g_15819,1,['anno2.MSTRG.13008.1'],[166],0,anno2.MSTRG.13008.1,166
g_9171,1,['anno1.g9513.t1'],[1089],0,anno1.g9513.t1,1089
g_9172,1,['anno1.g9514.t1'],[1159],0,anno1.g9514.t1,1159
g_15803,1,['anno2.MSTRG.13017.1'],[174],0,anno2.MSTRG.13017.1,174
g_9173,1,['anno1.g9515.t1'],[413],0,anno1.g9515.t1,413
g_9174,1,['anno1.g9516.t1'],[104],0,anno1.g9516.t1,104
g_9175,2,"['anno1.g9517.t1', 'anno1.g9517.t2']","[617, 620]",3,anno1.g9517.t2,620
g_9176,1,['anno1.g9518.t1'],[106],0,anno1.g9518.t1,106
g_9177,1,['anno1.g9519.t1'],[363],0,anno1.g9519.t1,363
g_16272,1,['anno2.2894_t'],[109],0,anno2.2894_t,109
g_9178,3,"['anno1.g9520.t1', 'anno2.MSTRG.13027.2', 'anno2.MSTRG.13027.3']","[882, 887, 953]",71,anno2.MSTRG.13027.3,953
g_9179,1,['anno1.g9522.t1'],[108],0,anno1.g9522.t1,108
g_9180,1,['anno1.g9523.t1'],[201],0,anno1.g9523.t1,201
g_9181,2,"['anno1.g9524.t1', 'anno1.g9524.t2']","[224, 216]",8,anno1.g9524.t1,224
g_9182,1,['anno1.g9525.t1'],[973],0,anno1.g9525.t1,973
g_9183,1,['anno1.g9526.t1'],[543],0,anno1.g9526.t1,543
g_9184,2,"['anno1.g9527.t1', 'anno2.MSTRG.13038.1']","[1122, 1169]",47,anno2.MSTRG.13038.1,1169
g_9185,1,['anno1.g9528.t1'],[185],0,anno1.g9528.t1,185
g_9186,2,"['anno1.g9529.t1', 'anno2.92_t']","[538, 584]",46,anno2.92_t,584
g_9187,2,"['anno1.g9530.t1', 'anno2.MSTRG.13046.1']","[639, 274]",365,anno1.g9530.t1,639
g_15795,1,['anno2.MSTRG.13048.1'],[331],0,anno2.MSTRG.13048.1,331
g_15723,1,['anno2.MSTRG.13049.1'],[1544],0,anno2.MSTRG.13049.1,1544
g_9188,2,"['anno1.g9531.t1', 'anno1.g9531.t2']","[794, 829]",35,anno1.g9531.t2,829
g_9189,1,['anno1.g9532.t1'],[864],0,anno1.g9532.t1,864
g_9190,4,"['anno1.g9533.t1', 'anno1.g9533.t2', 'anno1.g9533.t3', 'anno2.2101_t']","[791, 967, 946, 872]",176,anno1.g9533.t2,967
g_9191,1,['anno1.g9534.t1'],[357],0,anno1.g9534.t1,357
g_9192,2,"['anno1.g9535.t1', 'anno2.MSTRG.13056.2']","[684, 684]",0,anno1.g9535.t1,684
g_9193,1,['anno1.g9536.t1'],[252],0,anno1.g9536.t1,252
g_9194,1,['anno2.MSTRG.13060.1'],[218],0,anno2.MSTRG.13060.1,218
g_9195,1,['anno1.g9538.t1'],[222],0,anno1.g9538.t1,222
g_9196,1,['anno1.g9539.t1'],[294],0,anno1.g9539.t1,294
g_9197,1,['anno1.g9540.t1'],[316],0,anno1.g9540.t1,316
g_9198,1,['anno1.g9541.t1'],[495],0,anno1.g9541.t1,495
g_9199,1,['anno1.g9542.t1'],[182],0,anno1.g9542.t1,182
g_9200,2,"['anno1.g9543.t1', 'anno1.g9543.t2']","[238, 238]",0,anno1.g9543.t1,238
g_9201,2,"['anno1.g9544.t1', 'anno2.MSTRG.13063.1']","[292, 322]",30,anno2.MSTRG.13063.1,322
g_9203,1,['anno1.g9546.t1'],[107],0,anno1.g9546.t1,107
g_9204,1,['anno1.g9547.t1'],[651],0,anno1.g9547.t1,651
g_9206,1,['anno1.g9549.t1'],[295],0,anno1.g9549.t1,295
g_9207,1,['anno1.g9550.t1'],[333],0,anno1.g9550.t1,333
g_9208,1,['anno1.g9551.t1'],[635],0,anno1.g9551.t1,635
g_9209,1,['anno1.g9552.t1'],[162],0,anno1.g9552.t1,162
g_9210,2,"['anno1.g9553.t1', 'anno2.5036_t']","[422, 367]",55,anno1.g9553.t1,422
